Comment,Designator,Footprint,LCSC,Quantity
100,"R12,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408,2
10k,"R1,R2,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,3
10,"R4,R5",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17415,2
120,"R10,R3",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17437,2
25,"R11,R7,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17634,3
S6B-XH-SM4-TB,J3,CONN_S6B-XH-SM4-TB_JST,C191914,1
0.1 uf,"C1,C4",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233,2
PSM712-LF-T7,D3,SOT-23,C32677,1
THVD1406DR,U2,SOIC_D0008A_TEX,C5215918,1
47uf,"C2,C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C53134,2
LED_RKGB,"D1,D5",LED-ARRAY-SMD_4P-L1.6-W1.5-BL-FD-WITH-PIPE-2,C601684,2
2n7002,Q1,SOT-23,C8545,1
